epoch,acc,loss,val_acc,val_loss
0,0.33036,1.822596757736206,0.4366,1.5635745239257812
1,0.45032,1.51015766872406,0.5064,1.36122199344635
2,0.50716,1.3711698268127441,0.5356,1.293855068206787
3,0.5502,1.2702207860565184,0.5897,1.1616129373550415
4,0.58216,1.1879893867874145,0.6152,1.0940599292755127
5,0.60344,1.118659909210205,0.634,1.0501984521865844
6,0.62628,1.0616292688560487,0.6511,1.0010887334823608
7,0.64638,1.018133418006897,0.6732,0.9427963076591491
8,0.65978,0.974697957611084,0.6854,0.9002527406692505
9,0.67166,0.9420623769569397,0.6847,0.9308155443191528
10,0.68124,0.913166439666748,0.6982,0.8630571014404297
11,0.69366,0.8860481788635254,0.6985,0.8703487385749817
12,0.69974,0.8627562984275818,0.7174,0.8334204119682312
13,0.70662,0.8434280297279358,0.7297,0.7915882461547852
14,0.71556,0.8204206554794311,0.7309,0.7902373255729676
