epoch,acc,loss,val_acc,val_loss
0,0.3089388604353393,1.880642646787719,0.4073,1.6083844617843628
1,0.42227025296189563,1.5817475742611258,0.5074,1.3681369369506835
2,0.47046109510086453,1.4647035774725048,0.5274,1.3425091150283814
3,0.504062600064041,1.3804411086904824,0.5709,1.1997217510223388
4,0.5325408261287223,1.3090485287827252,0.601,1.1193719749450683
5,0.554054594940762,1.2496106130665325,0.5724,1.2080252048492433
6,0.5704250720461095,1.2033145372737037,0.6318,1.0331210643768312
7,0.5901176753121998,1.1625461162682569,0.6489,0.9922936310768128
8,0.6003642331091898,1.128607351505867,0.6497,0.9948547941207886
9,0.6148935318603906,1.1009021130579235,0.6495,0.993850048828125
10,0.6210774895933397,1.0715169690184358,0.671,0.9415650233268738
11,0.631424111431316,1.0456215076785496,0.6867,0.8932961309432983
12,0.6399895933397375,1.024655358630268,0.6933,0.8750081600189209
13,0.646533781620237,1.0037881150445684,0.692,0.8822704856872559
14,0.6502961895613193,0.9888048513249408,0.6871,0.8973711813926697
15,0.6605027217419148,0.9657341017006988,0.7077,0.8467762493133545
16,0.6644652577649696,0.9608515787689571,0.6798,0.9289104497909546
17,0.6698487031700289,0.9446547264057286,0.7083,0.8452259656906128
18,0.6766330451488953,0.9317224140526811,0.7089,0.8473816519737244
19,0.6802953890489913,0.9242234093769598,0.7135,0.8304090263366699
20,0.6813960934998399,0.9122118018889633,0.7219,0.8111528270721435
21,0.6860190521934038,0.9062687477315804,0.7267,0.808052184009552
22,0.6880403458213257,0.9009966782908236,0.7309,0.7784391627311706
23,0.6918828049951969,0.8885090598837138,0.7503,0.7349275032043457
24,0.6933837656099904,0.8864887490548883,0.7283,0.8005432293891906
25,0.6982668908101185,0.8782005946375872,0.7325,0.7854336741447449
26,0.7028097982708934,0.8697988825885676,0.7332,0.7884952195167542
27,0.7024295549151457,0.8619388417292206,0.74,0.7750306918144226
28,0.7071125520333014,0.8559583887204962,0.7439,0.7573638216972352
29,0.7052113352545629,0.8588713047369299,0.7108,0.8720352277755737
30,0.7060918988152417,0.856616062401122,0.7473,0.7396603471755981
31,0.7088936919628562,0.8479003575113084,0.7427,0.7624611280441285
32,0.7123759205891771,0.8422565541510165,0.7397,0.7796943006515503
33,0.7128962536023055,0.8422534755510739,0.7354,0.7738869828224182
34,0.7124159462055716,0.8403186116545314,0.7393,0.7568434922218322
35,0.7154979186679475,0.8369469603895187,0.7412,0.7503200731277466
36,0.718299711815562,0.8280927610634001,0.7312,0.8048800110816956
37,0.7177793788024336,0.8253337764278116,0.7606,0.7063426815032959
38,0.7214817483189241,0.8181145002625899,0.752,0.7313984963417053
39,0.7176192763368556,0.8256624819680433,0.7551,0.7196192351341247
