epoch,acc,loss,val_acc,val_loss
0,0.28368,1.962967427482605,0.387,1.7099176013946533
1,0.41998,1.6072852904510497,0.4952,1.4220077877044677
2,0.47438,1.4558350940322875,0.523,1.3388297510147096
3,0.51168,1.3653554788208009,0.5103,1.3671170383453368
4,0.53776,1.2955496613311768,0.5712,1.203287254524231
5,0.56372,1.22774683013916,0.5854,1.165701314163208
6,0.5821,1.1753597118759156,0.5866,1.1747667137145996
7,0.60116,1.127276521987915,0.6242,1.062935933971405
8,0.62222,1.0797532820892335,0.6143,1.0948836963653565
9,0.63336,1.0424193953704834,0.6447,1.0237972893714904
10,0.64518,1.012277119293213,0.6441,1.0214162470817565
11,0.65482,0.9841730492782593,0.6634,0.9749192224502563
12,0.66508,0.9570660372161865,0.6597,0.9684579011917114
13,0.67488,0.9323940236282349,0.6815,0.9159112475395202
14,0.68298,0.9068999296951294,0.6651,0.9534009536743164
