epoch,acc,loss,val_acc,val_loss
0,0.42808,1.560377940979004,0.5722,1.2030188264846802
1,0.54746,1.2734270624923707,0.5874,1.1609252913951873
2,0.58514,1.1619387757873536,0.6421,0.9960117152214051
3,0.61668,1.0898038310337066,0.6946,0.8753069860935211
4,0.6317,1.0490047699546814,0.6857,0.8996245574951172
5,0.64806,1.0092633538770677,0.686,0.8953749918460846
6,0.6553,0.9949773451423645,0.7213,0.8037840075969696
7,0.66488,0.9737281719970703,0.7241,0.7920704652309418
8,0.66854,0.9541456499004364,0.7265,0.787420644235611
9,0.67306,0.9416069891548157,0.7364,0.7815107050895691
10,0.67692,0.9282277755260467,0.7271,0.7876058892011643
11,0.68066,0.9228249155521393,0.7231,0.8229819148778915
12,0.68622,0.9079234026813507,0.7266,0.7981383284807205
13,0.68504,0.903426249177456,0.7611,0.7059993997812272
14,0.68744,0.8995182132577896,0.7367,0.7632692383050919
15,0.69374,0.8895297264766693,0.7531,0.7174921619415283
16,0.69332,0.8887775463962555,0.7403,0.7496506789922714
17,0.6958,0.8805556265735627,0.7446,0.7558092056035995
18,0.69954,0.8697888979578018,0.7505,0.7178324741959572
19,0.69932,0.8710264718580246,0.7346,0.7853938853502274
20,0.70284,0.8572377136349678,0.7373,0.76373447432518
21,0.70402,0.8598751917982101,0.7429,0.7503809850215912
22,0.7054,0.8577254094028472,0.7483,0.7363376272678375
23,0.70872,0.8438701598548889,0.7573,0.7135621595859527
24,0.70678,0.8496018885040283,0.7547,0.7197044756174088
25,0.71096,0.840770671210289,0.7439,0.7580951105594635
26,0.71066,0.8401075482034683,0.772,0.6714074342250824
27,0.71436,0.8355719193983078,0.7713,0.6845821598291397
28,0.71254,0.8340820448923111,0.7409,0.7646068075895309
29,0.71434,0.8312931867599487,0.7618,0.6828955988645553
30,0.71304,0.8341111714291572,0.7589,0.6952608995199203
31,0.71532,0.8317397870969773,0.7424,0.7453378920793533
32,0.71538,0.8310091267347336,0.7571,0.7222561618089676
33,0.71828,0.8258234719419479,0.7539,0.7228729002714157
34,0.71794,0.824636072087288,0.7615,0.6891544802427292
35,0.71888,0.8166812827777863,0.7544,0.7171858355164528
36,0.72042,0.8174664256739617,0.7668,0.6846453598737716
37,0.7196,0.820345827858448,0.7721,0.6629838215589523
38,0.72656,0.8035343403506279,0.7625,0.6996824760437012
39,0.72312,0.8127416981434822,0.7428,0.7386530254602433
40,0.72192,0.8134848232746125,0.7187,0.8183177466392517
41,0.7252,0.7999338909602165,0.7535,0.7249309616923332
42,0.72336,0.8084109948444367,0.7648,0.7001549200773239
43,0.7263,0.8010565436458588,0.7677,0.6862456079602242
44,0.72636,0.7998842420005798,0.7566,0.7004728909492492
45,0.72402,0.8052823934590817,0.7666,0.6750425009250641
46,0.72978,0.7934814413690567,0.7526,0.7192347087860107
47,0.72922,0.7931814779186249,0.7843,0.6359350602388382
48,0.73016,0.7918398863649369,0.7756,0.6761149745583535
49,0.73046,0.7933833508300782,0.7582,0.7141833483219147
50,0.73154,0.7879635515713692,0.7602,0.7035139582395553
51,0.73088,0.7937458542180061,0.7521,0.7194210592269897
52,0.73006,0.7848167311358452,0.7749,0.6569611211657524
53,0.73208,0.7840509927177429,0.745,0.7753166378736496
54,0.73396,0.7888053635835648,0.758,0.7114420332908631
55,0.73366,0.7863842411184311,0.7644,0.6879461049437523
56,0.7312,0.7891553136730194,0.783,0.6562626038074494
57,0.73114,0.7804501149749756,0.7871,0.6307008671283721
58,0.73508,0.7789940948295593,0.7574,0.7027750712156295
59,0.7353,0.7782316345906257,0.7582,0.728240211546421
60,0.73114,0.7879028022003174,0.7522,0.7355793929576874
61,0.7365,0.7735768023717403,0.7579,0.7274320085287094
62,0.73632,0.7798068100190163,0.7751,0.6675326045036316
63,0.73484,0.7768409056377411,0.7814,0.6462557369232178
64,0.73626,0.7758017406940461,0.7769,0.6616866247773171
