epoch,acc,loss,val_acc,val_loss
0,0.34546,1.7828640399169922,0.4421,1.5421515110015869
1,0.4632,1.474210380935669,0.5199,1.3337827939987184
2,0.5178,1.3446660746383667,0.5516,1.260593945503235
3,0.55794,1.2475443328475952,0.5954,1.1522404472351073
4,0.58716,1.1599672852706908,0.5937,1.1545037967681884
5,0.61748,1.0918547536849976,0.6493,1.0099051982879639
6,0.6356,1.0375839621543885,0.6611,0.9615468353271485
7,0.6504,0.9927972558403015,0.663,0.9518649536132813
8,0.66708,0.9508696408081054,0.6792,0.9172130737304688
9,0.67914,0.9176294347190856,0.6986,0.8624132748603821
10,0.69006,0.8878854291725159,0.7109,0.8298677176475525
11,0.69966,0.8599181035423279,0.6974,0.8872016036987305
12,0.7075,0.8402398589706421,0.6933,0.8784365899085999
13,0.71488,0.8182481323814392,0.7304,0.7826426889419555
14,0.72386,0.7992087345314026,0.7377,0.763003057193756
15,0.72894,0.7860756033706665,0.7447,0.7486864653587342
16,0.72994,0.7744054620552063,0.744,0.7494621816158294
17,0.73896,0.7592590057563782,0.7496,0.738842719078064
18,0.74034,0.7466578016281128,0.7406,0.7580487372398377
19,0.74448,0.7398015965461731,0.7554,0.7093700615882873
20,0.749,0.732234580078125,0.749,0.728352604341507
21,0.74792,0.7277547657775879,0.7537,0.7312092016220093
22,0.75328,0.7184978199195862,0.7655,0.6927585593223572
23,0.75488,0.7158890406799316,0.7398,0.764319835281372
24,0.7571,0.7082158685684204,0.7665,0.6815389716148377
25,0.76062,0.705584553604126,0.7517,0.7378536871910095
26,0.7626,0.6991851859092713,0.7494,0.7372394056320191
27,0.76068,0.6997721416950226,0.7638,0.6901487530708313
28,0.76818,0.6897392676639557,0.7708,0.6686814823150635
29,0.76824,0.6864380522823333,0.7659,0.6815829031467437
30,0.76784,0.6821238753223419,0.7708,0.6737076989173889
31,0.76964,0.6755858575344086,0.7727,0.6609759999275208
32,0.77146,0.6759886939430236,0.7611,0.7056969192504883
33,0.77166,0.669117575969696,0.7709,0.6911508543014526
34,0.77508,0.6700872598075867,0.7722,0.6707809941291809
35,0.77334,0.6647395466804504,0.7731,0.676170959854126
36,0.7775,0.6601028966999054,0.7748,0.6762423123836517
37,0.77814,0.6586306306362152,0.7804,0.6460349948883056
38,0.77978,0.6585204091644287,0.7818,0.6610140803813934
39,0.77966,0.6510889571285248,0.7821,0.6596358427047729
