epoch,acc,loss,val_acc,val_loss
0,0.29036,1.9204870561981202,0.3469,1.7475967956542968
1,0.39146,1.6623990842437744,0.4268,1.5583953359603882
2,0.43784,1.5394749475860596,0.467,1.5444475817680359
3,0.46678,1.464876773223877,0.5305,1.326853822517395
4,0.49346,1.3980111277770997,0.505,1.3850748490333558
5,0.51978,1.344787355079651,0.5821,1.1787801708221435
6,0.53816,1.2931382193756102,0.5949,1.1317192773342133
7,0.5515,1.2539112619018555,0.6067,1.1129057114124299
8,0.56486,1.2156616358184815,0.5951,1.1638316489696503
9,0.57812,1.182576285018921,0.6414,1.0292062876224517
10,0.58976,1.149953353691101,0.6068,1.1074213319778443
11,0.60094,1.1252412340927125,0.646,0.999951884841919
12,0.60692,1.1022934909057618,0.6249,1.0837812335014343
13,0.62012,1.07605809715271,0.6494,0.9917404051303863
14,0.6255,1.0579307717895508,0.6664,0.9458548699378967
15,0.63206,1.0404339039993287,0.6627,0.9554452550888062
16,0.63698,1.0242601871299744,0.6345,1.0375367364406585
17,0.64702,0.9987119207000732,0.6456,1.0279644690513612
18,0.651,0.9886738092041015,0.6855,0.9179077075481414
19,0.65594,0.9741431914520263,0.6999,0.8523000498771668
20,0.66452,0.9564774959945679,0.6884,0.9057065705776215
21,0.66634,0.9464888574981689,0.6729,0.9333170095920563
22,0.674,0.9317899830436707,0.6676,0.9749281724929809
23,0.6765,0.9203270388412476,0.7227,0.8021951841831207
24,0.67758,0.9145025172042847,0.717,0.803582705950737
25,0.68488,0.9020058922386169,0.7015,0.8540643244504929
26,0.68742,0.8933261650848389,0.6993,0.8726742243528366
27,0.6943,0.8800073600006103,0.7089,0.8553488240718842
28,0.69372,0.8736713652229309,0.7148,0.8375892303228378
29,0.7001,0.8656527921676636,0.712,0.809716334939003
30,0.70012,0.8567362869262696,0.7407,0.7585521674633026
31,0.704,0.8526946655273437,0.7279,0.7635648631811142
32,0.70518,0.845327530670166,0.746,0.7501115892887116
33,0.7085,0.8341425600624085,0.7426,0.7305434948921203
34,0.70938,0.8365113157844544,0.7364,0.7550037250995636
35,0.71084,0.8255787241363526,0.7567,0.7090139041662216
36,0.71454,0.8189203616714478,0.7505,0.713226168847084
37,0.71848,0.8142970120239258,0.7514,0.7199476899385452
38,0.72004,0.8087588137435913,0.7386,0.75813683116436
39,0.7179,0.8094192660140991,0.7544,0.7084085070610047
