epoch,acc,loss,val_acc,val_loss
0,0.45866,1.4914393430709838,0.6112,1.1056894357681275
1,0.60956,1.103494418411255,0.6849,0.9140261449337006
2,0.66534,0.9573590201282501,0.7067,0.8472922726631165
3,0.68932,0.8860897175979614,0.7129,0.8121569025993347
4,0.70912,0.8294325617790222,0.7245,0.8022061674833297
5,0.72536,0.7873158847332,0.7466,0.7369318645238876
6,0.73664,0.7516484082508087,0.7343,0.7708467478513717
7,0.74624,0.7294665103387833,0.7532,0.7141217184782028
8,0.75472,0.7056058412861824,0.7519,0.711810048532486
9,0.76108,0.6884019674253464,0.7531,0.7210095475196838
10,0.76712,0.6711014838647842,0.7562,0.7247311586380005
11,0.77474,0.6457008184719085,0.7623,0.6972461089372635
12,0.77538,0.6412478213524818,0.7662,0.6921971171617508
13,0.78208,0.6208697590088844,0.7707,0.6822715611934662
14,0.78734,0.6106599418914318,0.7686,0.7161569087505341
15,0.79228,0.5967432507765293,0.7676,0.703641903758049
16,0.79112,0.6012023488819599,0.7843,0.6714000744819641
17,0.79704,0.5820345770299434,0.7745,0.664968446958065
18,0.8021,0.5722617807722091,0.7796,0.6727680866241456
19,0.80148,0.5710159019446372,0.7691,0.6941201298832893
20,0.8066,0.5593894733476639,0.7668,0.6926808835864067
21,0.80684,0.5511362638902664,0.7722,0.6996273562908173
22,0.80606,0.5543346502649784,0.772,0.6872156309723854
23,0.8122,0.5401341141891479,0.7765,0.7022319596529008
24,0.81418,0.5359607733744383,0.7722,0.715755330491066
25,0.81994,0.5254333845317364,0.775,0.7187765510737896
26,0.81344,0.5350568748819828,0.7782,0.6783611953735351
27,0.82062,0.5192389932847024,0.7776,0.70030393140316
28,0.8205,0.5148051073235274,0.7815,0.6752607326388359
29,0.8229,0.5130815948569775,0.7839,0.6717380850195884
30,0.82668,0.5045674810925126,0.7822,0.719062544631958
31,0.82506,0.5043125365948677,0.7853,0.6786708808124066
32,0.82896,0.5008962915831804,0.7837,0.6846604732513428
33,0.82802,0.5002738689410686,0.7813,0.6948852946162224
34,0.83064,0.49113730472385886,0.7805,0.7004754970788956
35,0.83058,0.4881636218595505,0.7782,0.7191553440213203
36,0.8338,0.48100807706415655,0.7824,0.7379505118370057
37,0.83364,0.480826438511014,0.7868,0.6878466984927655
38,0.83672,0.4763683155852556,0.7822,0.7078320073962212
39,0.8378,0.47164185049951074,0.7812,0.704678840905428
40,0.83932,0.4701135674214363,0.7794,0.7138413965344429
41,0.84262,0.4619581785196066,0.7767,0.7203423215031624
42,0.8399,0.4695500025588274,0.7709,0.7248856587052346
43,0.84218,0.4632401029652357,0.781,0.695089869749546
44,0.84398,0.4553415331685543,0.7893,0.6836050976395607
45,0.84444,0.453701205560863,0.7808,0.727606328612566
46,0.84758,0.44688472039282323,0.7855,0.7070963449597358
47,0.8452,0.45494203931838273,0.7795,0.7236050340652466
48,0.84776,0.44576469769284127,0.774,0.7303965014696121
49,0.84544,0.44886997037172316,0.781,0.7078164198875427
50,0.84846,0.44394488846719266,0.7814,0.7080526578426362
51,0.84918,0.4389085581174493,0.7899,0.6791153104662895
52,0.84996,0.44049355097591875,0.7774,0.7204349745750427
53,0.85168,0.43387081889361145,0.7794,0.7395677872478962
54,0.85316,0.437736142590642,0.784,0.743268548360467
55,0.85222,0.43785989513784646,0.7816,0.7087665323734283
56,0.85374,0.4266331089451909,0.7868,0.7279653568267822
57,0.857,0.41806336959123613,0.7889,0.7174950388193131
58,0.85734,0.4207722483921051,0.7854,0.7528085095882415
59,0.8601,0.40514760024547575,0.7861,0.7544674351900816
60,0.86022,0.4143447454893589,0.7816,0.7369019198179245
61,0.85836,0.41698231401741503,0.7862,0.7127066035628319
62,0.85996,0.41653677695795893,0.7878,0.713004812169075
63,0.86218,0.4086088108612597,0.786,0.7541363012969494
64,0.86202,0.407133433252126,0.786,0.741246107879281
