epoch,acc,loss,val_acc,val_loss
0,0.2762399999809265,1.9721056225585938,0.3847,1.7142227451324463
1,0.38954000001907346,1.6844117510223389,0.4434,1.541509049987793
2,0.43361999998092654,1.5611526831817626,0.4846,1.4352443351745605
3,0.46391999998092653,1.4793067663955688,0.493,1.4256070499420166
4,0.49056,1.4107320261764527,0.534,1.3078707738876343
5,0.5144399999618531,1.3574044536209107,0.5365,1.2887663497924804
6,0.5320600000190735,1.3090518592071534,0.5679,1.2186082334518433
7,0.5509000000095368,1.2655966318511962,0.5552,1.2619074573516846
8,0.5646400000095367,1.2294663185882568,0.5994,1.1422651365280152
9,0.5758399999809265,1.197560547065735,0.6069,1.1195150552749633
10,0.5885799999618531,1.1617974826431274,0.6228,1.0786819034576416
11,0.5993800000190734,1.1304286659622191,0.6208,1.0789333023071288
12,0.6119199999809265,1.1013342082214355,0.6267,1.0636042125701903
13,0.62276,1.0779831545257568,0.6492,1.0066709705352783
14,0.6313,1.0527246060943602,0.6535,0.9929232033729554
